ngram_range,max_features,min_df,umap_dims,eps,min_samples,num_clusters,noise_ratio,silhouette_score,davies_bouldin_score
"(1, 1)",3000,2,50,0.8,5,57,0.0,0.3102356791496277,0.30843086920911783
"(1, 1)",3000,2,50,0.8,10,47,0.014858841010401188,0.3385867178440094,0.9780931472782218
"(1, 1)",3000,2,50,0.8,15,34,0.04550520059435364,0.34164419770240784,1.1014036093923363
"(1, 1)",3000,2,50,1.0,5,54,0.0,0.3327435553073883,0.293549478822722
"(1, 1)",3000,2,50,1.0,10,46,0.011329866270430906,0.3431779146194458,0.9903694898200085
"(1, 1)",3000,2,50,1.0,15,33,0.04141901931649331,0.35087865591049194,1.0795997826198507
"(1, 1)",3000,2,100,0.2,5,156,0.09416790490341753,0.4266780912876129,0.9150069870763788
"(1, 1)",3000,2,100,0.2,10,127,0.21545319465081725,0.3733498156070709,0.9218655792619408
"(1, 1)",3000,2,100,0.2,15,95,0.34416790490341753,0.21418523788452148,1.1038975664962838
"(1, 1)",3000,2,100,0.4,5,80,0.0029717682020802376,0.30208462476730347,0.5264740550116536
"(1, 1)",3000,2,100,0.4,10,71,0.030274888558692422,0.3768245577812195,1.1400355210742275
"(1, 1)",3000,2,100,0.4,15,63,0.07095096582466567,0.40216881036758423,1.3626569036667426
"(1, 1)",3000,2,100,0.6,5,65,0.0,0.4091077744960785,0.2959391741186471
"(1, 1)",3000,2,100,0.6,10,55,0.015044576523031204,0.46415939927101135,1.1048939045557067
"(1, 1)",3000,2,100,0.6,15,44,0.043462109955423475,0.3310609757900238,1.2486306994166687
"(1, 1)",3000,2,100,0.8,5,60,0.0,0.3661487102508545,0.30542506977174005
"(1, 1)",3000,2,100,0.8,10,50,0.015044576523031204,0.40832850337028503,1.0636858895257904
"(1, 1)",3000,2,100,0.8,15,37,0.043462109955423475,0.38400572538375854,1.1640150619752043
"(1, 1)",3000,2,100,1.0,5,57,0.0,0.29701435565948486,0.3220635527161318
"(1, 1)",3000,2,100,1.0,10,47,0.01411589895988113,0.3384900987148285,1.0785958045757198
"(1, 1)",3000,2,100,1.0,15,34,0.042533432392273404,0.3236629366874695,1.1590050924520026
"(1, 1)",5000,2,2,0.2,5,97,0.008729569093610699,0.3505432903766632,0.6332456333574985
"(1, 1)",5000,2,2,0.2,10,93,0.05070579494799406,0.3675420880317688,2.0999037955315285
"(1, 1)",5000,2,2,0.2,15,91,0.1326151560178306,0.3450438380241394,1.9932027538087476
"(1, 1)",5000,2,2,0.4,5,73,0.0005572065378900445,0.25988879799842834,0.44822255768169217
"(1, 1)",5000,2,2,0.4,10,59,0.023402674591381872,0.30609771609306335,1.2413801702168692
"(1, 1)",5000,2,2,0.4,15,48,0.05163447251114413,0.35451459884643555,1.9792215522072525
"(1, 1)",5000,2,2,0.6,5,65,0.0,0.30519917607307434,0.2634249687910056
"(1, 1)",5000,2,2,0.6,10,51,0.019130757800891532,0.33589258790016174,1.4895600575317611
"(1, 1)",5000,2,2,0.6,15,39,0.046433878157503716,0.3382582366466522,2.5395959376301165
"(1, 1)",5000,2,2,0.8,5,61,0.0,0.33301183581352234,0.25969587511381176
"(1, 1)",5000,2,2,0.8,10,49,0.01634472511144131,0.3237142562866211,1.7015665047893243
